Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;
brownnoser; §GAttack +1;Lèche-cul;Stiefellecker;;;;;;;;;;;
brilliant_strategist;Brilliant Strategist;;;;;;;;;;;;;
bootlicker; §GDefence +1;Lèche-bottes;Speichellecker;;;;;;;;;;;
cavalry_school; §GAttack +2;École de cavalerie;Kavallerieschule;;;;;;;;;;;
colonial_recruit;Colonial Recruit;;;;;;;;;;;;;
colonial_b; §RDefence -2;Colonial;Kolonial;;;;;;;;;;;
cartographer;Cartographer;Cartographe;Kartograf;;;;;;;;;;;
cursed_luck; §GAttack +2 Defence +2;Malchanceux;Vom Pech verflucht;;;;;;;;;;;
corrupt;Corrupt;Corrompu;Korrupt;;;;;;;;;;;
clueless; §RAttack -1;Ignorant;Ahnungslos;;;;;;;;;;;
debutante;Debutante;Débutant;Debütant;;;;;;;;;;;
disgraced;Disgraced;Déshonoré;In Ungnade Gefallener;;;;;;;;;;;
drillmaster;Drillmaster;Sergent instructeur;Zuchtmeister;;;;;;;;;;;
diplomat;Diplomat;Diplomate;Diplomat;;;;;;;;;;;
engineer;Engineer;Génie;Ingenieur;;;;;;;;;;;
entrepreneur;Entrepreneur;;;;;;;;;;;;;
exranker;Exranker;Ancien militaire;Ex-Gefreiter;;;;;;;;;;;
expert_raider; §GAttack +2;Commando expérimenté;Überfallexperte;;;;;;;;;;;
eccentric_genius; §GAttack +2;Génie excentrique;Exzentrisches Genie;;;;;;;;;;;
elder_statesmen;Elder Statesman;;;;;;;;;;;;;
elderly;Elderly;Âgé;Älter;;;;;;;;;;;
ethnic;Ethnic;;;;;;;;;;;;;
gifted_administrator;Gifted Administrator;Administrateur doué;Begabter Administrator;;;;;;;;;;;
generals_aide; §GDefence +1;Aide de camp;Generalsadjutant;;;;;;;;;;;
hated; §GAttack +1 Defence +1;Odieux;Gehasst;;;;;;;;;;;
innovative_tactician; §GAttack +1;Tacticien novateur;Innovativer Taktiker;;;;;;;;;;;
immoral;Immoral;Immoral;Unmoralisch;;;;;;;;;;;
introverted_philosopher;Introverted Philosopher;;;;;;;;;;;;;
incompetent;Incompetent;Incompétent;Inkompetent;;;;;;;;;;;
intellectual;Intellectual;;;;;;;;;;;;;
military_theoretician;Military Theoretician;;;;;;;;;;;;;
megalomaniac; §RAttack -2;Mégalomane;Megalomane;;;;;;;;;;;
mercenary;Mercenary;;;;;;;;;;;;;
feeble;Feeble;;;;;;;;;;;;;
harsh_disciplinarian;Harsh Disciplinarian;;;;;;;;;;;;;
fearsome;Fearsome;;;;;;;;;;;;;
independent;Independent-Minded;;;;;;;;;;;;;
bureaucrat;Bureaucrat;;;;;;;;;;;;;
member_of_elite;Member of the Elite;;;;;;;;;;;;;
natural_born_leader; §GAttack +1;Leader naturel;Geborener Anführer;;;;;;;;;;;
nationalist; §GAttack +1;;;;;;;;;;;;;
old_school; §GAttack +1 §RDefense -2;Vieille école;Alte Schule;;;;;;;;;;;
poet; §GAttack +1;Poète;Poet;;;;;;;;;;;
priest;Priest;Prêtre;Priester;;;;;;;;;;;
professor; §RAttack -1 Defence -1;Professeur;Professor;;;;;;;;;;;
powerful_friends;Powerful Friends;Amis puissants;Mächtige Freunde;;;;;;;;;;;
pawn;Pawn;Pion;Pfand;;;;;;;;;;;
questionable_loyalties;Questionable Loyalties;;;;;;;;;;;;;
renowned_adventurer;Renowned Adventurer;;;;;;;;;;;;;
politician;Politician;Politicien;Politiker;;;;;;;;;;;
rising_star;Rising Star;Étoile montante;Aufsteigender Stern;;;;;;;;;;;
religious_fanatic;Religious Fanatic;;;;;;;;;;;;;
religious_leader;Religious Leader;;;;;;;;;;;;;
railroad_man;Railroad Man;;;;;;;;;;;;;
rags_to_riches;Rags to Riches;;;;;;;;;;;;;
son_of_hero;Hero's Son;;;;;;;;;;;;;
spoiled; §GAttack +2;Gâté;Verwöhnt;;;;;;;;;;;
school_of_defense; §GDefense +3;École de défense;Schule der Verteidigung;;;;;;;;;;;
school_of_offense; §GAttack +1;École d'attaque;Schule der Offensive;;;;;;;;;;;
school_of_the_bayonet; §GAttack +2 Defence 1;École de la baïonnette;Schule des Bajonetts;;;;;;;;;;;
school_of_firepower; §GAttack +1;École de la puissance de feu;Schule der Feuerkraft;;;;;;;;;;;
sad_sack; §RAttack -2;Raté;Trauriger Sack;;;;;;;;;;;
state_ideologue;State Ideologue;;;;;;;;;;;;;
sucker; §RAttack -1;Gogo;Trottel;;;;;;;;;;;
sycophant;Sycophant;Flagorneur;Kriecher;;;;;;;;;;;
toady; §GAttack +1;Flatteur;Schleimer;;;;;;;;;;;
turncoat;Turncoat;;;;;;;;;;;;;
university_educated;University Educated;;;;;;;;;;;;;
uncommonly_young; §GAttack +1 Defence +1;Singulièrement jeune;Ungewöhnlich jung;;;;;;;;;;;
unfit; §RAttack -2;Inapte;Ungeeignet;;;;;;;;;;;
unqualified;Unqualified;Non qualifié;Unqualifiziert;;;;;;;;;;;
unfulfilled_potential;Unfulfilled Potential;;;;;;;;;;;;;
warmonger;Warmonger;Belliciste;Kriegstreiber;;;;;;;;;;;
war_college; §GAttack +1;École militaire;Militärakademie;;;;;;;;;;;
wounded_veteran;Wounded Veteran;;;;;;;;;;;;;
womanizer;Womanizer;Coureur de jupons;Schürzenjäger;;;;;;;;;;;
yesman;Yesman;Béni-oui-oui;Jasager;;;;;;;;;;;
arab_revolt_ended;Arab Revolt Ended;;;;;;;;;;;;;
newly_released_nation;Newly-Formed Nation;;;;;;;;;;;;;
crop_rotation;Crop Rotation;;;;;;;;;;;;;
crop_rotation_desc;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;;
phosphates;Phosphates;;;;;;;;;;;;;
phosphates_desc;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
nitrates;Nitrates;;;;;;;;;;;;;
nitrates_desc;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
will_support_entre_rios;Pledged Support to Entre Rios;;;;;;;;;;;;;
shaft_mine;Shaft Mining;;;;;;;;;;;;;
shaft_mine_desc;Deep shaft mining has been developed in the province.;;;;;;;;;;;;;
pit_mine;Pit Mining;;;;;;;;;;;;;
pit_mine_desc;Pit mining has been developed in the province.;;;;;;;;;;;;;
strip_mine;Strip Mining;;;;;;;;;;;;;
strip_mine_desc;Strip mining has been developed in the province.;;;;;;;;;;;;;
tax_reforms;National Tax Reforms;;;;;;;;;;;;;
tax_reforms_desc;Recent reforms to tax laws have increased our tax efficiency… at least until those laws are repealed or loopholes found to evade them.;;;;;;;;;;;;;
intense_farming;Intensive Farming;;;;;;;;;;;;;
intense_farming_desc;Plantations have been started in this province to more efficiently and intensively farm it-- even though this comes with a risk of exhausting the farmland.;;;;;;;;;;;;;
exhausted_land;Exhausted Farmland;;;;;;;;;;;;;
exhausted_land_desc;The intensive farming of this province's farmland has exhausted the soil. Production will be low until the land recovers.;;;;;;;;;;;;;
irrigration_network;Irrigation Network;;;;;;;;;;;;;
irrigration_network_desc;An irrigation network has been built here, allowing the desert to be farmed more effectively.;;;;;;;;;;;;;
population_trend;Population Growth Trend;;;;;;;;;;;;;
population_trend_desc;Our nation has recently experienced a change in our population growth. It will likely remain stable for some time to come.;;;;;;;;;;;;;
point_five_children;Growth Rate: 0.5 Children;;;;;;;;;;;;;
point_five_children_desc;Our nation's growth rate is abysmal-- roughly equivalent to one child for every four healthy adults.;;;;;;;;;;;;;
one_child;Growth Rate: 1 Child;;;;;;;;;;;;;
one_child_desc;Our nation's growth rate is very low-- roughly equivalent to one child for every two healthy adults.;;;;;;;;;;;;;
one_point_five_children;Growth Rate: 1.5 Children;;;;;;;;;;;;;
one_point_five_children_desc;Our nation's growth rate is low-- roughly equivalent to three children for every four healthy adults.;;;;;;;;;;;;;
two_children;Growth Rate: 2 Children;;;;;;;;;;;;;
two_children_desc;Our nation's growth rate is stable-- roughly equivalent to two children for every two healthy adults.;;;;;;;;;;;;;
two_point_five_children;Growth Rate: 2.5 Children;;;;;;;;;;;;;
two_point_five_children_desc;Our nation's growth rate is above average-- roughly equivalent to five children for every four healthy adults.;;;;;;;;;;;;;
three_children;Growth Rate: 3 Children;;;;;;;;;;;;;
three_children_desc;Our nation's growth rate is high-- roughly equivalent to three children for every two healthy adults.;;;;;;;;;;;;;
four_children;Growth Rate: 4 Children;;;;;;;;;;;;;
four_children_desc;Our nation's growth rate is very high-- roughly equivalent to four children for every two healthy adults.;;;;;;;;;;;;;
bleeding;Bleeding State;;;;;;;;;;;;;
bleeding_desc;Caught between the forces of abolitionism and those supporting slavery, this state is in the throes of violence as the locals attempt to sway the entire populace one way or the other.;;;;;;;;;;;;;
submarine;Submarine;;;;;;;;;;;;;
